,price,bhk,area
272,₹55 Lac ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area308 sqft
273,₹2.90 Cr ,"3 BHK Flat for Sale in Yogi Nagar, Mumbai",Carpet Area900 sqft
274,₹82 Lac ,"2 BHK Flat for Sale in Vasai, Mumbai",Carpet Area750 sqft
275,₹1 Cr ,"1 BHK Flat for Sale in Gorai 2, Mumbai",Carpet Area400 sqft
276,₹3.20 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1150 sqft
277,₹2.10 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area735 sqft
278,₹1.30 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area750 sqft
279,₹3.75 Cr ,"3 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1084 sqft
280,₹5.50 Cr ,"3 BHK Flat for Sale in Matunga East, Mumbai",Carpet Area1100 sqft
281,₹2.10 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area650 sqft
282,₹1.55 Cr ,"2 BHK Flat for Sale in Bhandup East, Mumbai",Super Area687 sqft
283,₹2.15 Cr ,"2 BHK Flat for Sale in Deonar Chembur, Mumbai",Carpet Area615 sqft
284,₹1.70 Cr ,"2 BHK Flat for Sale in Vikhroli, Mumbai",Carpet Area597 sqft
285,₹70 Lac ,"2 BHK Flat for Sale in Mira Road, Mumbai",Carpet Area650 sqft
286,₹3.40 Cr ,"2 BHK Flat for Sale in Matunga East, Mumbai",Carpet Area714 sqft
287,₹2.50 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Carpet Area677 sqft
288,₹1.40 Cr ,"2 BHK Flat for Sale in Liberty Garden, Mumbai",Carpet Area660 sqft
289,₹2.30 Cr ,"2 BHK Flat for Sale in Mahavir Nagar Kandivali West, Mumbai",Carpet Area700 sqft
290,₹1.19 Cr ,"2 BHK Flat for Sale in Kajupada Borivali East, Mumbai",Carpet Area673 sqft
291,₹6.10 Cr ,"3 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area1645 sqft
292,₹47 Lac ,"1 BHK Flat for Sale in Vasai, Mumbai",Super Area570 sqft
293,₹2.99 Cr ,"2 BHK Flat for Sale in Swami Vivekanand Road, Mumbai",Carpet Area847 sqft
294,₹1.10 Cr ,"1 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area419 sqft
295,₹1.30 Cr ,"2 BHK Flat for Sale in Mitha Nagar, Mumbai",Carpet Area550 sqft
296,₹40 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area440 sqft
297,₹1.75 Cr ,"2 BHK Flat for Sale in Motilal Nagar 2, Mumbai",Carpet Area721 sqft
298,₹2.65 Cr ,"2 BHK Flat for Sale in Antop Hill, Mumbai",Carpet Area550 sqft
299,₹1.05 Cr ,"2 BHK Flat for Sale in Shree Krishna Nagar Andheri East, Mumbai",Carpet Area330 sqft
300,₹1.90 Cr ,"1 BHK Flat for Sale in Juhu, Mumbai",Super Area560 sqft
301,₹36 Lac ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",Super Area623 sqft
302,₹4 Cr ,"3 BHK Flat for Sale in Thakur Complex, Mumbai",Carpet Area1463 sqft
303,₹2.35 Cr ,"2 BHK Flat for Sale in Somwari Bazar, Mumbai",Carpet Area760 sqft
304,₹2.75 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area860 sqft
305,₹3.50 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Super Area1200 sqft
306,₹2.85 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area875 sqft
307,₹14 Lac ,"1 BHK Flat for Sale in Ambivali, Mumbai",Carpet Area233 sqft
308,₹7.50 Cr ,"3 BHK Flat for Sale in Parel, Mumbai",Super Area2195 sqft
309,₹1.05 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area509 sqft
310,₹25 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area560 sqft
311,₹1.65 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area608 sqft
312,₹4.80 Cr ,"2 BHK Flat for Sale in Nariman Point, Mumbai",Carpet Area850 sqft
313,₹45 Lac ,2 BHK Flat for Sale in Mumbai,Carpet Area667 sqft
314,₹5 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1300 sqft
315,₹1.20 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Carpet Area565 sqft
316,₹35 Lac ,"2 BHK Flat for Sale in Vasai East, Mumbai",Carpet Area710 sqft
317,₹1.15 Cr ,"1 BHK Flat for Sale in Jogeshwari West, Mumbai",Super Area401 sqft
318,₹1.40 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area680 sqft
319,₹1.99 Cr ,"2 BHK Flat for Sale in Saki Naka, Mumbai",Carpet Area637 sqft
320,₹1.95 Cr ,"4 BHK Flat for Sale in Vinay Nagar, Mumbai",Carpet Area1200 sqft
321,₹4.10 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area970 sqft
322,₹43 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",Super Area511 sqft
323,₹2.10 Cr ,"2 BHK Flat for Sale in Santacruz West, Mumbai",Carpet Area61 sqft
324,₹1.10 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",Super Area540 sqft
325,₹1.40 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area486 sqft
326,₹1.40 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area730 sqft
327,₹72 Lac ,"2 BHK Flat for Sale in Royal Palms, Mumbai",Carpet Area650 sqft
328,₹1.20 Cr ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area430 sqft
329,₹96 Lac ,"1 BHK Flat for Sale in Ashok Van, Mumbai",Carpet Area424 sqft
330,₹1.85 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Super Area835 sqft
331,₹4.50 Cr ,"3 BHK Flat for Sale in Wadala, Mumbai",Super Area1764 sqft
332,₹1.32 Cr ,"1 BHK Flat for Sale in Bandra East, Mumbai",Carpet Area425 sqft
333,₹3.15 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area1055 sqft
334,₹1.85 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area830 sqft
335,₹1.82 Cr ,"2 BHK Flat for Sale in Deonar Govandi East, Mumbai",Carpet Area690 sqft
336,₹1.95 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area750 sqft
337,₹2.30 Cr ,"2 BHK Flat for Sale in Kolivery Village, Mumbai",Carpet Area690 sqft
338,₹1 Cr ,"3 BHK Flat for Sale in Mira Road East, Mumbai",Carpet Area950 sqft
339,₹1.78 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area638 sqft
340,₹2.60 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area780 sqft
341,₹1.45 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area537 sqft
342,₹1.64 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area686 sqft
343,₹85 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area458 sqft
344,₹43 Lac ,"2 BHK Flat for Sale in Bhalchandra Nagar, Mumbai",Carpet Area790 sqft
345,₹2.15 Cr ,"2 BHK Flat for Sale in Byculla, Mumbai",Carpet Area500 sqft
346,₹1.25 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area525 sqft
347,₹49 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Super Area600 sqft
348,₹1.10 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area650 sqft
349,₹1.18 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area450 sqft
350,₹24 Lac ," Studio Apartment for Sale in Malad West, Mumbai",Carpet Area185 sqft
351,₹75 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area300 sqft
352,₹3.25 Cr ,"2 BHK Flat for Sale in Lokhandwala Complex Andheri West, Mumbai",Carpet Area780 sqft
353,₹2.05 Cr ,"2 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area650 sqft
354,₹65 Lac ,"2 BHK Flat for Sale in Shanti Park, Mumbai",Carpet Area550 sqft
355,₹10.50 Cr ,"2 BHK Flat for Sale in Pedder Road, Mumbai",Carpet Area1340 sqft
356,₹1.95 Cr ,"2 BHK Flat for Sale in New MHB Colony, Mumbai",Super Area650 sqft
357,₹1.95 Cr ,"2 BHK Flat for Sale in Vikhroli East, Mumbai",Carpet Area644 sqft
358,₹2.99 Cr ,"3 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area850 sqft
359,₹98 Lac ,"1 BHK Flat for Sale in Ganesh Nagar Bhandup West, Mumbai",Carpet Area420 sqft
360,₹31 Lac ,1 BHK Flat for Sale in Mumbai,Super Area525 sqft
361,₹2.20 Cr ,"2 BHK Flat for Sale in Tilak Nagar Chembur, Mumbai",Carpet Area640 sqft
362,₹1.69 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area650 sqft
363,₹1.40 Cr ,"2 BHK Flat for Sale in Bhayandar West, Mumbai",Carpet Area760 sqft
364,₹2.35 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area656 sqft
365,₹2.95 Cr ,"4 BHK Flat for Sale in Mulund, Mumbai",Carpet Area1299 sqft
366,₹2.50 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",Super Area706 sqft
367,₹2.25 Cr ,"2 BHK Flat for Sale in Borivali, Mumbai",Carpet Area622 sqft
368,₹37 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",Super Area665 sqft
369,₹2.20 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area760 sqft
370,₹2.05 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area800 sqft
371,₹75 Lac ,"1 BHK Flat for Sale in Bhayandar West, Mumbai",Carpet Area600 sqft
372,₹80 Lac ,"1 BHK Flat for Sale in Kandarpada, Mumbai",Super Area500 sqft
373,₹1.39 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area457 sqft
374,₹1.25 Cr ,"1 BHK Flat for Sale in Deonar Chembur, Mumbai",Carpet Area430 sqft
375,₹75 Lac ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area580 sqft
376,₹65 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area460 sqft
377,₹82 Lac ,1 BHK Flat for Sale in Mumbai,Super Area495 sqft
378,₹2.20 Cr ,"2 BHK Flat for Sale in Siddharth Nagar Mulund West, Mumbai",Carpet Area618 sqft
379,₹3.25 Cr ,"3 BHK Flat for Sale in Jay Prakash Nagar Goregaon East, Mumbai",Carpet Area932 sqft
380,₹45 Lac ,"2 BHK Flat for Sale in Ulhasnagar, Mumbai",Super Area980 sqft
381,₹1.05 Cr ,"1 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area470 sqft
382,₹9.50 Cr ,"3 BHK Flat for Sale in Prabhadevi, Mumbai",Super Area1800 sqft
383,₹65 Lac ,"1 BHK Flat for Sale in Cotton Green, Mumbai",Carpet Area225 sqft
384,₹81 Lac ,"1 BHK Flat for Sale in Powai, Mumbai",Super Area405 sqft
385,₹85 Lac ,3 BHK Flat for Sale in Mumbai,Carpet Area800 sqft
386,₹36 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",Carpet Area595 sqft
387,₹3 Cr ,"2 BHK Flat for Sale in Sewri, Mumbai",Carpet Area625 sqft
388,₹98 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area495 sqft
389,₹3.25 Cr ,"4 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area1031 sqft
390,₹5.50 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",Super Area1025 sqft
391,₹60 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area310 sqft
392,₹1.20 Cr ,"1 BHK Flat for Sale in Mahavir Nagar Kandivali West, Mumbai",Super Area580 sqft
393,₹65 Lac ,"1 BHK Flat for Sale in Bhayandar West, Mumbai",Super Area525 sqft
394,₹9.50 Cr ,"3 BHK Flat for Sale in Babulnath, Mumbai",Carpet Area1117 sqft
395,₹85 Lac ,"3 BHK Flat for Sale in Virar West, Mumbai",Carpet Area1100 sqft
396,₹1 Cr ,"1 BHK Flat for Sale in Malad East, Mumbai",Carpet Area430 sqft
397,₹65 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area690 sqft
398,₹2.69 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area870 sqft
399,₹1.45 Cr ,"1 BHK Flat for Sale in Swastik Park, Mumbai",Carpet Area456 sqft
400,₹1.40 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",Super Area700 sqft
401,₹1.50 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area512 sqft
402,₹42 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area720 sqft
403,₹1.23 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area563 sqft
404,₹1.80 Cr ,1 BHK Flat for Sale in Mumbai,Super Area405 sqft
405,₹1.40 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area609 sqft
406,₹2.75 Cr ,"2 BHK Flat for Sale in Indira Nagar Vile Parle West, Mumbai",Carpet Area750 sqft
407,₹3 Cr ,"2 BHK Flat for Sale in Kalina, Mumbai",Carpet Area620 sqft
408,₹70 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area693 sqft
409,₹27 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",Carpet Area310 sqft
410,₹2.60 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Carpet Area985 sqft
411,₹1.25 Cr ,"2 BHK Flat for Sale in Jankalyan Nagar, Mumbai",Carpet Area700 sqft
412,₹4 Cr ,"3 BHK Flat for Sale in Goregaon, Mumbai",Carpet Area1300 sqft
413,₹95 Lac ,"1 BHK Flat for Sale in Dahisar West, Mumbai",Carpet Area418 sqft
414,₹8.60 Cr ,"3 BHK Flat for Sale in Khar West, Mumbai",Super Area1548 sqft
415,₹1.05 Cr ,"1 BHK Flat for Sale in Sagar Prasad Society, Mumbai",Carpet Area505 sqft
416,₹90 Lac ,"1 BHK Flat for Sale in Gokuldham Colony Goregaon East, Mumbai",Carpet Area435 sqft
417,₹30 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Carpet Area450 sqft
418,₹1.12 Cr ,"2 BHK Flat for Sale in Vikhroli East, Mumbai",Carpet Area508 sqft
419,₹1.50 Cr ,"2 BHK Flat for Sale in Nehru Nagar Kurla, Mumbai",Carpet Area545 sqft
420,₹72 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area694 sqft
421,₹50 Lac ,"2 BHK Flat for Sale in Naigaon East, Mumbai",Carpet Area600 sqft
422,₹8 Cr ,4 BHK Flat for Sale in Mumbai,Carpet Area1750 sqft
423,₹1.14 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",Carpet Area580 sqft
424,₹65 Lac ,"1 BHK Flat for Sale in Suresh Colony, Mumbai",Carpet Area297 sqft
425,₹3.75 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Super Area1500 sqft
426,₹1.80 Cr ,"2 BHK Flat for Sale in Vikhroli West, Mumbai",Carpet Area655 sqft
427,₹4.70 Cr ,"3 BHK Flat for Sale in Yari Road, Mumbai",Carpet Area890 sqft
428,₹1.10 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Super Area410 sqft
429,₹55 Lac ,"1 BHK Flat for Sale in Shivaji Nagar Malad East, Mumbai",Carpet Area396 sqft
430,₹1.95 Cr ,"2 BHK Flat for Sale in LBS Road, Mumbai",Carpet Area775 sqft
431,₹1.76 Cr ,"2 BHK Flat for Sale in NL Complex, Mumbai",Carpet Area650 sqft
432,₹4.50 Cr ,"4 BHK Flat for Sale in Malad West, Mumbai",Carpet Area1204 sqft
433,₹38.5 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",Carpet Area620 sqft
434,₹2.80 Cr ,"2 BHK Flat for Sale in Chakala, Mumbai",Carpet Area787 sqft
435,₹11 Cr ,"7 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area3100 sqft
436,₹99 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area450 sqft
437,₹78 Lac ,"1 BHK Flat for Sale in Bhandup East, Mumbai",Carpet Area385 sqft
438,₹1.52 Cr ,"2 BHK Flat for Sale in Liberty Garden, Mumbai",Carpet Area700 sqft
439,₹1.95 Cr ,"2 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area650 sqft
440,₹1.95 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area623 sqft
441,₹2.08 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area860 sqft
442,₹40 Lac ,"1 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area270 sqft
443,₹2.50 Cr ,"2 BHK Flat for Sale in Chembur East, Mumbai",Carpet Area750 sqft
444,₹1.65 Cr ,"2 BHK Flat for Sale in Sion East, Mumbai",Carpet Area580 sqft
445,₹11 Lac ," Studio Apartment for Sale in Malad West, Mumbai",Carpet Area200 sqft
446,₹2.60 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Super Area738 sqft
447,₹1.15 Cr ,"1 BHK Flat for Sale in Pant Nagar, Mumbai",Carpet Area360 sqft
448,₹2.60 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area970 sqft
449,₹2.75 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",Carpet Area730 sqft
450,₹1.35 Cr ,"1 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area400 sqft
451,₹2.20 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Super Area650 sqft
452,₹1.40 Cr ,"2 BHK Flat for Sale in New Mhada Colony Goregaon, Mumbai",Carpet Area660 sqft
453,₹42 Lac ,"2 BHK Flat for Sale in Nala Sopara, Mumbai",Super Area944 sqft
454,₹1.35 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area650 sqft
455,₹1.35 Cr ,"1 BHK Flat for Sale in Nana Chowk Area, Mumbai",Carpet Area400 sqft
456,₹50 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area485 sqft
457,₹1.80 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area580 sqft
458,₹76 Lac ,"1 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area335 sqft
459,₹86 Lac ,"1 BHK Flat for Sale in Tilak Nagar Chembur, Mumbai",Carpet Area400 sqft
460,₹5.50 Cr ,"3 BHK Flat for Sale in Sambhaji Nagar Mulund West, Mumbai",Carpet Area1451 sqft
461,₹1.05 Cr ," Studio Apartment for Sale in Mulund West, Mumbai",Carpet Area307 sqft
462,₹2 Cr ,"2 BHK Flat for Sale in Shell Colony, Mumbai",Carpet Area715 sqft
463,₹1 Cr ,"1 BHK Flat for Sale in Mulund West, Mumbai",Super Area550 sqft
464,₹1.70 Cr ,"3 BHK Flat for Sale in Shanti Nagar Mira Road, Mumbai",Carpet Area690 sqft
465,₹2 Cr ,"2 BHK Flat for Sale in Vile Parle West, Mumbai",Carpet Area600 sqft
466,₹4.65 Cr ,"3 BHK Flat for Sale in Vile Parle East, Mumbai",Carpet Area975 sqft
467,₹4.60 Cr ,"4 BHK Flat for Sale in Sion East, Mumbai",Super Area1610 sqft
468,₹1.13 Cr ,"1 BHK Flat for Sale in Tilak Nagar Chembur, Mumbai",Carpet Area410 sqft
469,₹1.90 Cr ,2 BHK Flat for Sale in Mumbai,Super Area700 sqft
470,₹2 Cr ,"5 BHK Flat for Sale in Virar Nallasopara Link Road, Mumbai",Carpet Area1550 sqft
471,₹5.50 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1300 sqft
472,₹2.25 Cr ,"1 BHK Flat for Sale in Juhu Tara Road, Mumbai",Carpet Area350 sqft
473,₹70 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area600 sqft
474,₹1.70 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area745 sqft
475,₹2.50 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Super Area1070 sqft
476,₹2.35 Cr ,2 BHK Flat for Sale in Mumbai,Super Area771 sqft
477,₹84 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area225 sqft
478,₹2.30 Cr ,2 BHK Flat for Sale in Mumbai,Super Area771 sqft
479,₹1.09 Cr ,"1 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area275 sqft
480,₹85 Lac ,"2 BHK Flat for Sale in Vasai West, Mumbai",Super Area806 sqft
481,₹75 Lac ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area424 sqft
482,₹4.50 Cr ,"2 BHK Flat for Sale in Colaba, Mumbai",Carpet Area760 sqft
483,₹11 Cr ,"3 BHK Flat for Sale in Cuffe Parade, Mumbai",Super Area1640 sqft
484,₹3.20 Cr ,"2 BHK Flat for Sale in Parel, Mumbai",Super Area1309 sqft
485,₹1.50 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",Super Area625 sqft
486,₹2 Cr ,"1 BHK Flat for Sale in Bandra West, Mumbai",Carpet Area300 sqft
487,₹80 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area882 sqft
488,₹45 Lac ," Studio Apartment for Sale in Bhandup West, Mumbai",Carpet Area180 sqft
489,₹1.65 Cr ,"2 BHK Flat for Sale in Vikhroli West, Mumbai",Carpet Area585 sqft
490,₹62 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area695 sqft
491,₹80 Lac ,"1 BHK Flat for Sale in Chembur, Mumbai",Carpet Area338 sqft
492,₹2.65 Cr ,"2 BHK Flat for Sale in Deonar Farm Road, Mumbai",Carpet Area750 sqft
493,₹3.50 Cr ,"4 BHK Flat for Sale in Gandhi Nagar Vikhroli West, Mumbai",Carpet Area1150 sqft
494,₹3.50 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Super Area1268 sqft
495,₹4 Cr ,"2 BHK Flat for Sale in Bandra East, Mumbai",Carpet Area1000 sqft
496,₹37 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area372 sqft
497,₹1.45 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area700 sqft
498,₹49 Lac ,"1 BHK Flat for Sale in Rajan Pada, Mumbai",Carpet Area225 sqft
499,₹2.75 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Carpet Area900 sqft
500,₹1.40 Cr ,"1 BHK Flat for Sale in Mazgaon, Mumbai",Carpet Area459 sqft
501,₹15 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",Super Area470 sqft
502,₹84 Lac ,"1 BHK Flat for Sale in Bhandup, Mumbai",Super Area350 sqft
503,₹1.45 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area550 sqft
504,₹2.20 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area700 sqft
505,₹85 Lac ,"2 BHK Flat for Sale in Kalbadevi, Mumbai",Carpet Area400 sqft
506,₹5.75 Cr ,"3 BHK Flat for Sale in Juhu, Mumbai",Carpet Area1118 sqft
507,₹49 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",Carpet Area480 sqft
508,₹1.80 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area575 sqft
509,₹1.69 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area1200 sqft
510,₹3.50 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area750 sqft
511,₹1.09 Cr ,"1 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area407 sqft
512,₹3.50 Cr ,"2 BHK Flat for Sale in Juhu Scheme, Mumbai",Carpet Area800 sqft
513,₹2.55 Cr ,"3 BHK Flat for Sale in Sindhi Society Chembur, Mumbai",Carpet Area979 sqft
514,₹1.10 Cr ,"1 BHK Flat for Sale in Marol Maroshi Road, Mumbai",Carpet Area550 sqft
515,₹65 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area270 sqft
516,₹2.25 Cr ,"2 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area671 sqft
517,₹65 Lac ,"1 BHK Flat for Sale in Vinay Nagar, Mumbai",Carpet Area370 sqft
518,₹16 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",Carpet Area450 sqft
519,₹3.25 Cr ,"3 BHK Flat for Sale in Versova Andheri West, Mumbai",Carpet Area1100 sqft
520,₹50 Lac ," Studio Apartment for Sale in Vile Parle East, Mumbai",Carpet Area215 sqyrd
521,₹1.40 Cr ,"1 BHK Flat for Sale in Vikhroli West, Mumbai",Carpet Area506 sqft
522,₹1.15 Cr ,"1 BHK Flat for Sale in Kapadia Nagar, Mumbai",Carpet Area460 sqft
523,₹5.20 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area1390 sqft
524,₹85 Lac ,"2 BHK Flat for Sale in Geeta Nagar Mira Road East, Mumbai",Super Area690 sqft
525,₹58 Lac ,2 BHK Flat for Sale in Mumbai,Carpet Area611 sqft
526,₹1.80 Cr ,"2 BHK Flat for Sale in Vasant Oscar, Mumbai",Carpet Area850 sqft
527,₹1.40 Cr ,"1 BHK Flat for Sale in Sion, Mumbai",Carpet Area550 sqft
528,₹47 Lac ,"1 BHK Flat for Sale in Vasai, Mumbai",Carpet Area485 sqft
529,₹1 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Super Area476 sqft
530,₹4.45 Cr ,"3 BHK Flat for Sale in Bandra West, Mumbai",Carpet Area1070 sqft
531,₹37 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Super Area425 sqft
532,₹65 Lac ,"2 BHK Flat for Sale in Vasai East, Mumbai",Super Area613 sqft
533,₹95 Lac ,"1 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area440 sqft
534,₹4.95 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area850 sqft
535,₹5.35 Cr ,"3 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area950 sqft
536,₹2.50 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area845 sqft
537,₹80 Lac ,"1 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area465 sqft
538,₹65 Lac ,2 BHK Flat for Sale in Mumbai,Carpet Area515 sqft
539,₹53 Lac ," Studio Apartment for Sale in Koldongri Andheri East, Mumbai",Carpet Area240 sqft
540,₹2.30 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area685 sqft
541,₹1.75 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area755 sqft
542,₹2.50 Cr ,"2 BHK Flat for Sale in Chembur East, Mumbai",Carpet Area800 sqft
543,₹2.10 Cr ,"2 BHK Flat for Sale in Parel, Mumbai",Carpet Area610 sqft
544,₹80 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area750 sqft
545,₹2.25 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area630 sqft
546,₹2.05 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area727 sqft
